Date,ControlPoint,Beishang,Nanxia,NetFlow
2021-01-19,Lok Ma Chau Spur Line,0,0,0
2021-01-19,Heung Yuen Wai,0,0,0
2021-01-19,Lok Ma Chau,0,0,0
2021-01-19,Man Kam To,0,0,0
2021-01-19,Sha Tau Kok,0,0,0
2021-01-19,Shenzhen Bay,1466,-81,1385
2021-01-20,Express Rail Link West Kowloon,0,0,0
2021-01-20,Hung Hom,0,0,0
2021-01-20,Lo Wu,0,0,0
2021-01-20,Lok Ma Chau Spur Line,0,0,0
2021-01-20,Heung Yuen Wai,0,0,0
2021-01-20,Lok Ma Chau,0,0,0
2021-01-20,Man Kam To,0,0,0
2021-01-20,Sha Tau Kok,0,0,0
2021-01-20,Shenzhen Bay,1581,-88,1493
2021-01-21,Express Rail Link West Kowloon,0,0,0
2021-01-21,Hung Hom,0,0,0
2021-01-21,Lo Wu,0,0,0
2021-01-21,Lok Ma Chau Spur Line,0,0,0
2021-01-21,Heung Yuen Wai,0,0,0
2021-01-21,Lok Ma Chau,0,0,0
2021-01-21,Man Kam To,0,0,0
2021-01-21,Sha Tau Kok,0,0,0
2021-01-21,Shenzhen Bay,1121,-92,1029
2021-01-22,Express Rail Link West Kowloon,0,0,0
2021-01-22,Hung Hom,0,0,0
2021-01-22,Lo Wu,0,0,0
2021-01-22,Lok Ma Chau Spur Line,0,0,0
2021-01-22,Heung Yuen Wai,0,0,0
2021-01-22,Lok Ma Chau,0,0,0
2021-01-22,Man Kam To,0,0,0
2021-01-22,Sha Tau Kok,0,0,0
2021-01-22,Shenzhen Bay,1002,-76,926
2021-01-23,Express Rail Link West Kowloon,0,0,0
2021-01-23,Hung Hom,0,0,0
2021-01-23,Lo Wu,0,0,0
2021-01-23,Lok Ma Chau Spur Line,0,0,0
2021-01-23,Heung Yuen Wai,0,0,0
2021-01-23,Lok Ma Chau,0,0,0
2021-01-23,Man Kam To,0,0,0
2021-01-23,Sha Tau Kok,0,0,0
2021-01-23,Shenzhen Bay,959,-108,851
2021-01-24,Express Rail Link West Kowloon,0,0,0
2021-01-24,Hung Hom,0,0,0
2021-01-24,Lo Wu,0,0,0
2021-01-24,Lok Ma Chau Spur Line,0,0,0
2021-01-24,Heung Yuen Wai,0,0,0
2021-01-24,Lok Ma Chau,0,0,0
2021-01-24,Man Kam To,0,0,0
2021-01-24,Sha Tau Kok,0,0,0
2021-01-24,Shenzhen Bay,504,-126,378
2021-01-25,Express Rail Link West Kowloon,0,0,0
2021-01-25,Hung Hom,0,0,0
2021-01-25,Lo Wu,0,0,0
2021-01-25,Lok Ma Chau Spur Line,0,0,0
2021-01-25,Heung Yuen Wai,0,0,0
2021-01-25,Lok Ma Chau,0,0,0
2021-01-25,Man Kam To,0,0,0
2021-01-25,Sha Tau Kok,0,0,0
2021-01-25,Shenzhen Bay,637,-86,551
2021-01-26,Express Rail Link West Kowloon,0,0,0
2021-01-26,Hung Hom,0,0,0
2021-01-26,Lo Wu,0,0,0
2021-01-26,Lok Ma Chau Spur Line,0,0,0
2021-01-26,Heung Yuen Wai,0,0,0
2021-01-26,Lok Ma Chau,0,0,0
2021-01-26,Man Kam To,0,0,0
2021-01-26,Sha Tau Kok,0,0,0
2021-01-26,Shenzhen Bay,639,-89,550
2021-01-27,Express Rail Link West Kowloon,0,0,0
2021-01-27,Hung Hom,0,0,0
2021-01-27,Lo Wu,0,0,0
2021-01-27,Lok Ma Chau Spur Line,0,0,0
2021-01-27,Heung Yuen Wai,0,0,0
2021-01-27,Lok Ma Chau,0,0,0
2021-01-27,Man Kam To,0,0,0
2021-01-27,Sha Tau Kok,0,0,0
2021-01-27,Shenzhen Bay,618,-103,515
2021-01-28,Express Rail Link West Kowloon,0,0,0
2021-01-28,Hung Hom,0,0,0
2021-01-28,Lo Wu,0,0,0
2021-01-28,Lok Ma Chau Spur Line,0,0,0
2021-01-28,Heung Yuen Wai,0,0,0
2021-01-28,Lok Ma Chau,0,0,0
2021-01-28,Man Kam To,0,0,0
2021-01-28,Sha Tau Kok,0,0,0
2021-01-28,Shenzhen Bay,531,-79,452
2021-01-29,Express Rail Link West Kowloon,0,0,0
2021-01-29,Hung Hom,0,0,0
2021-01-29,Lo Wu,0,0,0
2021-01-29,Lok Ma Chau Spur Line,0,0,0
2021-01-29,Heung Yuen Wai,0,0,0
2021-01-29,Lok Ma Chau,0,0,0
2021-01-29,Man Kam To,0,0,0
2021-01-29,Sha Tau Kok,0,0,0
2021-01-29,Shenzhen Bay,313,-69,244
2021-01-30,Express Rail Link West Kowloon,0,0,0
2021-01-30,Hung Hom,0,0,0
2021-01-30,Lo Wu,0,0,0
2021-01-30,Lok Ma Chau Spur Line,0,0,0
2021-01-30,Heung Yuen Wai,0,0,0
2021-01-30,Lok Ma Chau,0,0,0
2021-01-30,Man Kam To,0,0,0
2021-01-30,Sha Tau Kok,0,0,0
2021-01-30,Shenzhen Bay,342,-77,265
2021-01-31,Express Rail Link West Kowloon,0,0,0
2021-01-31,Hung Hom,0,0,0
2021-01-31,Lo Wu,0,0,0
2021-01-31,Lok Ma Chau Spur Line,0,0,0
2021-01-31,Heung Yuen Wai,0,0,0
2021-01-31,Lok Ma Chau,0,0,0
2021-01-31,Man Kam To,0,0,0
2021-01-31,Sha Tau Kok,0,0,0
2021-01-31,Shenzhen Bay,244,-58,186
2021-02-01,Express Rail Link West Kowloon,0,0,0
2021-02-01,Hung Hom,0,0,0
2021-02-01,Lo Wu,0,0,0
2021-02-01,Lok Ma Chau Spur Line,0,0,0
2021-02-01,Heung Yuen Wai,0,0,0
2021-02-01,Lok Ma Chau,0,0,0
2021-02-01,Man Kam To,0,0,0
2021-02-01,Sha Tau Kok,0,0,0
2021-02-01,Shenzhen Bay,253,-53,200
2021-02-02,Express Rail Link West Kowloon,0,0,0
2021-02-02,Hung Hom,0,0,0
2021-02-02,Lo Wu,0,0,0
2021-02-02,Lok Ma Chau Spur Line,0,0,0
2021-02-02,Heung Yuen Wai,0,0,0
2021-02-02,Lok Ma Chau,0,0,0
2021-02-02,Man Kam To,0,0,0
2021-02-02,Sha Tau Kok,0,0,0
2021-02-02,Shenzhen Bay,330,-62,268
2021-02-03,Express Rail Link West Kowloon,0,0,0
2021-02-03,Hung Hom,0,0,0
2021-02-03,Lo Wu,0,0,0
2021-02-03,Lok Ma Chau Spur Line,0,0,0
2021-02-03,Heung Yuen Wai,0,0,0
2021-02-03,Lok Ma Chau,0,0,0
2021-02-03,Man Kam To,0,0,0
2021-02-03,Sha Tau Kok,0,0,0
2021-02-03,Shenzhen Bay,555,-69,486
2021-02-04,Express Rail Link West Kowloon,0,0,0
2021-02-04,Hung Hom,0,0,0
2021-02-04,Lo Wu,0,0,0
2021-02-04,Lok Ma Chau Spur Line,0,0,0
2021-02-04,Heung Yuen Wai,0,0,0
2021-02-04,Lok Ma Chau,0,0,0
2021-02-04,Man Kam To,0,0,0
2021-02-04,Sha Tau Kok,0,0,0
2021-02-04,Shenzhen Bay,434,-59,375
2021-02-05,Express Rail Link West Kowloon,0,0,0
2021-02-05,Hung Hom,0,0,0
2021-02-05,Lo Wu,0,0,0
2021-02-05,Lok Ma Chau Spur Line,0,0,0
2021-02-05,Heung Yuen Wai,0,0,0
2021-02-05,Lok Ma Chau,0,0,0
2021-02-05,Man Kam To,0,0,0
2021-02-05,Sha Tau Kok,0,0,0
2021-02-05,Shenzhen Bay,316,-72,244
2021-02-06,Express Rail Link West Kowloon,0,0,0
2021-02-06,Hung Hom,0,0,0
2021-02-06,Lo Wu,0,0,0
2021-02-06,Lok Ma Chau Spur Line,0,0,0
2021-02-06,Heung Yuen Wai,0,0,0
2021-02-06,Lok Ma Chau,0,0,0
2021-02-06,Man Kam To,0,0,0
2021-02-06,Sha Tau Kok,0,0,0
2021-02-06,Shenzhen Bay,264,-79,185
2021-02-07,Express Rail Link West Kowloon,0,0,0
2021-02-07,Hung Hom,0,0,0
2021-02-07,Lo Wu,0,0,0
2021-02-07,Lok Ma Chau Spur Line,0,0,0
2021-02-07,Heung Yuen Wai,0,0,0
2021-02-07,Lok Ma Chau,0,0,0
2021-02-07,Man Kam To,0,0,0
2021-02-07,Sha Tau Kok,0,0,0
2021-02-07,Shenzhen Bay,228,-76,152
2021-02-08,Express Rail Link West Kowloon,0,0,0
2021-02-08,Hung Hom,0,0,0
2021-02-08,Lo Wu,0,0,0
2021-02-08,Lok Ma Chau Spur Line,0,0,0
2021-02-08,Heung Yuen Wai,0,0,0
2021-02-08,Lok Ma Chau,0,0,0
2021-02-08,Man Kam To,0,0,0
2021-02-08,Sha Tau Kok,0,0,0
2021-02-08,Shenzhen Bay,205,-80,125
2021-02-09,Express Rail Link West Kowloon,0,0,0
2021-02-09,Hung Hom,0,0,0
2021-02-09,Lo Wu,0,0,0
2021-02-09,Lok Ma Chau Spur Line,0,0,0
2021-02-09,Heung Yuen Wai,0,0,0
2021-02-09,Lok Ma Chau,0,0,0
2021-02-09,Man Kam To,0,0,0
2021-02-09,Sha Tau Kok,0,0,0
2021-02-09,Shenzhen Bay,255,-74,181
2021-02-10,Express Rail Link West Kowloon,0,0,0
2021-02-10,Hung Hom,0,0,0
2021-02-10,Lo Wu,0,0,0
2021-02-10,Lok Ma Chau Spur Line,0,0,0
2021-02-10,Heung Yuen Wai,0,0,0
2021-02-10,Lok Ma Chau,0,0,0
2021-02-10,Man Kam To,0,0,0
2021-02-10,Sha Tau Kok,0,0,0
2021-02-10,Shenzhen Bay,282,-79,203
2021-02-11,Express Rail Link West Kowloon,0,0,0
2021-02-11,Hung Hom,0,0,0
2021-02-11,Lo Wu,0,0,0
2021-02-11,Lok Ma Chau Spur Line,0,0,0
2021-02-11,Heung Yuen Wai,0,0,0
2021-02-11,Lok Ma Chau,0,0,0
2021-02-11,Man Kam To,0,0,0
2021-02-11,Sha Tau Kok,0,0,0
2021-02-11,Shenzhen Bay,213,-42,171
2021-02-12,Express Rail Link West Kowloon,0,0,0
2021-02-12,Hung Hom,0,0,0
2021-02-12,Lo Wu,0,0,0
2021-02-12,Lok Ma Chau Spur Line,0,0,0
2021-02-12,Heung Yuen Wai,0,0,0
2021-02-12,Lok Ma Chau,0,0,0
2021-02-12,Man Kam To,0,0,0
2021-02-12,Sha Tau Kok,0,0,0
2021-02-12,Shenzhen Bay,183,-18,165
2021-02-13,Express Rail Link West Kowloon,0,0,0
2021-02-13,Hung Hom,0,0,0
2021-02-13,Lo Wu,0,0,0
2021-02-13,Lok Ma Chau Spur Line,0,0,0
2021-02-13,Heung Yuen Wai,0,0,0
2021-02-13,Lok Ma Chau,0,0,0
2021-02-13,Man Kam To,0,0,0
2021-02-13,Sha Tau Kok,0,0,0
2021-02-13,Shenzhen Bay,221,-43,178
2021-02-14,Express Rail Link West Kowloon,0,0,0
2021-02-14,Hung Hom,0,0,0
2021-02-14,Lo Wu,0,0,0
2021-02-14,Lok Ma Chau Spur Line,0,0,0
2021-02-14,Heung Yuen Wai,0,0,0
2021-02-14,Lok Ma Chau,0,0,0
2021-02-14,Man Kam To,0,0,0
2021-02-14,Sha Tau Kok,0,0,0
2021-02-14,Shenzhen Bay,434,-69,365
2021-02-15,Express Rail Link West Kowloon,0,0,0
2021-02-15,Hung Hom,0,0,0
2021-02-15,Lo Wu,0,0,0
2021-02-15,Lok Ma Chau Spur Line,0,0,0
2021-02-15,Heung Yuen Wai,0,0,0
2021-02-15,Lok Ma Chau,0,0,0
2021-02-15,Man Kam To,0,0,0
2021-02-15,Sha Tau Kok,0,0,0
2021-02-15,Shenzhen Bay,594,-85,509
2021-02-16,Express Rail Link West Kowloon,0,0,0
2021-02-16,Hung Hom,0,0,0
2021-02-16,Lo Wu,0,0,0
2021-02-16,Lok Ma Chau Spur Line,0,0,0
2021-02-16,Heung Yuen Wai,0,0,0
2021-02-16,Lok Ma Chau,0,0,0
2021-02-16,Man Kam To,0,0,0
2021-02-16,Sha Tau Kok,0,0,0
2021-02-16,Shenzhen Bay,714,-108,606
2021-02-17,Express Rail Link West Kowloon,0,0,0
2021-02-17,Hung Hom,0,0,0
2021-02-17,Lo Wu,0,0,0
2021-02-17,Lok Ma Chau Spur Line,0,0,0
2021-02-17,Heung Yuen Wai,0,0,0
2021-02-17,Lok Ma Chau,0,0,0
2021-02-17,Man Kam To,0,0,0
2021-02-17,Sha Tau Kok,0,0,0
2021-02-17,Shenzhen Bay,933,-155,778
2021-02-18,Express Rail Link West Kowloon,0,0,0
2021-02-18,Hung Hom,0,0,0
2021-02-18,Lo Wu,0,0,0
2021-02-18,Lok Ma Chau Spur Line,0,0,0
2021-02-18,Heung Yuen Wai,0,0,0
2021-02-18,Lok Ma Chau,0,0,0
2021-02-18,Man Kam To,0,0,0
2021-02-18,Sha Tau Kok,0,0,0
2021-02-18,Shenzhen Bay,1092,-104,988
2021-02-19,Express Rail Link West Kowloon,0,0,0
2021-02-19,Hung Hom,0,0,0
2021-02-19,Lo Wu,0,0,0
2021-02-19,Lok Ma Chau Spur Line,0,0,0
2021-02-19,Heung Yuen Wai,0,0,0
2021-02-19,Lok Ma Chau,0,0,0
2021-02-19,Man Kam To,0,0,0
2021-02-19,Sha Tau Kok,0,0,0
2021-02-19,Shenzhen Bay,979,-219,760
2021-02-20,Express Rail Link West Kowloon,0,0,0
2021-02-20,Hung Hom,0,0,0
2021-02-20,Lo Wu,0,0,0
2021-02-20,Lok Ma Chau Spur Line,0,0,0
2021-02-20,Heung Yuen Wai,0,0,0
2021-02-20,Lok Ma Chau,0,0,0
2021-02-20,Man Kam To,0,0,0
2021-02-20,Sha Tau Kok,0,0,0
2021-02-20,Shenzhen Bay,966,-257,709
2021-02-21,Express Rail Link West Kowloon,0,0,0
2021-02-21,Hung Hom,0,0,0
2021-02-21,Lo Wu,0,0,0
2021-02-21,Lok Ma Chau Spur Line,0,0,0
2021-02-21,Heung Yuen Wai,0,0,0
2021-02-21,Lok Ma Chau,0,0,0
2021-02-21,Man Kam To,0,0,0
2021-02-21,Sha Tau Kok,0,0,0
2021-02-21,Shenzhen Bay,745,-259,486
2021-02-22,Express Rail Link West Kowloon,0,0,0
2021-02-22,Hung Hom,0,0,0
2021-02-22,Lo Wu,0,0,0
2021-02-22,Lok Ma Chau Spur Line,0,0,0
2021-02-22,Heung Yuen Wai,0,0,0
2021-02-22,Lok Ma Chau,0,0,0
2021-02-22,Man Kam To,0,0,0
2021-02-22,Sha Tau Kok,0,0,0
2021-02-22,Shenzhen Bay,1215,-221,994
2021-02-23,Express Rail Link West Kowloon,0,0,0
2021-02-23,Hung Hom,0,0,0
2021-02-23,Lo Wu,0,0,0
2021-02-23,Lok Ma Chau Spur Line,0,0,0
2021-02-23,Heung Yuen Wai,0,0,0
2021-02-23,Lok Ma Chau,0,0,0
2021-02-23,Man Kam To,0,0,0
2021-02-23,Sha Tau Kok,0,0,0
2021-02-23,Shenzhen Bay,969,-163,806
2021-02-24,Express Rail Link West Kowloon,0,0,0
2021-02-24,Hung Hom,0,0,0
2021-02-24,Lo Wu,0,0,0
2021-02-24,Lok Ma Chau Spur Line,0,0,0
2021-02-24,Heung Yuen Wai,0,0,0
2021-02-24,Lok Ma Chau,0,0,0
2021-02-24,Man Kam To,0,0,0
2021-02-24,Sha Tau Kok,0,0,0
2021-02-24,Shenzhen Bay,805,-135,670
2021-02-25,Express Rail Link West Kowloon,0,0,0
2021-02-25,Hung Hom,0,0,0
2021-02-25,Lo Wu,0,0,0
2021-02-25,Lok Ma Chau Spur Line,0,0,0
2021-02-25,Heung Yuen Wai,0,0,0
2021-02-25,Lok Ma Chau,0,0,0
2021-02-25,Man Kam To,0,0,0
2021-02-25,Sha Tau Kok,0,0,0
2021-02-25,Shenzhen Bay,591,-129,462
2021-02-26,Express Rail Link West Kowloon,0,0,0
2021-02-26,Hung Hom,0,0,0
2021-02-26,Lo Wu,0,0,0
2021-02-26,Lok Ma Chau Spur Line,0,0,0
2021-02-26,Heung Yuen Wai,0,0,0
2021-02-26,Lok Ma Chau,0,0,0
2021-02-26,Man Kam To,0,0,0
2021-02-26,Sha Tau Kok,0,0,0
2021-02-26,Shenzhen Bay,460,-119,341
2021-02-27,Express Rail Link West Kowloon,0,0,0
2021-02-27,Hung Hom,0,0,0
2021-02-27,Lo Wu,0,0,0
2021-02-27,Lok Ma Chau Spur Line,0,0,0
2021-02-27,Heung Yuen Wai,0,0,0
2021-02-27,Lok Ma Chau,0,0,0
2021-02-27,Man Kam To,0,0,0
2021-02-27,Sha Tau Kok,0,0,0
2021-02-27,Shenzhen Bay,879,-265,614
2021-02-28,Express Rail Link West Kowloon,0,0,0
2021-02-28,Hung Hom,0,0,0
2021-02-28,Lo Wu,0,0,0
2021-02-28,Lok Ma Chau Spur Line,0,0,0
2021-02-28,Heung Yuen Wai,0,0,0
2021-02-28,Lok Ma Chau,0,0,0
2021-02-28,Man Kam To,0,0,0
2021-02-28,Sha Tau Kok,0,0,0
2021-02-28,Shenzhen Bay,674,-249,425
2021-03-01,Express Rail Link West Kowloon,0,0,0
2021-03-01,Hung Hom,0,0,0
2021-03-01,Lo Wu,0,0,0
2021-03-01,Lok Ma Chau Spur Line,0,0,0
2021-03-01,Heung Yuen Wai,0,0,0
2021-03-01,Lok Ma Chau,0,0,0
2021-03-01,Man Kam To,0,0,0
2021-03-01,Sha Tau Kok,0,0,0
2021-03-01,Shenzhen Bay,1096,-210,886
2021-03-02,Express Rail Link West Kowloon,0,0,0
2021-03-02,Hung Hom,0,0,0
2021-03-02,Lo Wu,0,0,0
2021-03-02,Lok Ma Chau Spur Line,0,0,0
2021-03-02,Heung Yuen Wai,0,0,0
2021-03-02,Lok Ma Chau,0,0,0
2021-03-02,Man Kam To,0,0,0
2021-03-02,Sha Tau Kok,0,0,0
2021-03-02,Shenzhen Bay,1165,-176,989
2021-03-03,Express Rail Link West Kowloon,0,0,0
2021-03-03,Hung Hom,0,0,0
2021-03-03,Lo Wu,0,0,0
2021-03-03,Lok Ma Chau Spur Line,0,0,0
2021-03-03,Heung Yuen Wai,0,0,0
2021-03-03,Lok Ma Chau,0,0,0
2021-03-03,Man Kam To,0,0,0
2021-03-03,Sha Tau Kok,0,0,0
2021-03-03,Shenzhen Bay,715,-162,553
2021-03-04,Express Rail Link West Kowloon,0,0,0
2021-03-04,Hung Hom,0,0,0
2021-03-04,Lo Wu,0,0,0
2021-03-04,Lok Ma Chau Spur Line,0,0,0
2021-03-04,Heung Yuen Wai,0,0,0
2021-03-04,Lok Ma Chau,0,0,0
2021-03-04,Man Kam To,0,0,0
2021-03-04,Sha Tau Kok,0,0,0
2021-03-04,Shenzhen Bay,587,-154,433
2021-03-05,Express Rail Link West Kowloon,0,0,0
2021-03-05,Hung Hom,0,0,0
2021-03-05,Lo Wu,0,0,0
2021-03-05,Lok Ma Chau Spur Line,0,0,0
2021-03-05,Heung Yuen Wai,0,0,0
2021-03-05,Lok Ma Chau,0,0,0
2021-03-05,Man Kam To,0,0,0
2021-03-05,Sha Tau Kok,0,0,0
2021-03-05,Shenzhen Bay,650,-138,512
2021-03-06,Express Rail Link West Kowloon,0,0,0
2021-03-06,Hung Hom,0,0,0
2021-03-06,Lo Wu,0,0,0
2021-03-06,Lok Ma Chau Spur Line,0,0,0
2021-03-06,Heung Yuen Wai,0,0,0
2021-03-06,Lok Ma Chau,0,0,0
2021-03-06,Man Kam To,0,0,0
2021-03-06,Sha Tau Kok,0,0,0
2021-03-06,Shenzhen Bay,667,-184,483
2021-03-07,Express Rail Link West Kowloon,0,0,0
2021-03-07,Hung Hom,0,0,0
2021-03-07,Lo Wu,0,0,0
2021-03-07,Lok Ma Chau Spur Line,0,0,0
2021-03-07,Heung Yuen Wai,0,0,0
2021-03-07,Lok Ma Chau,0,0,0
2021-03-07,Man Kam To,0,0,0
2021-03-07,Sha Tau Kok,0,0,0
2021-03-07,Shenzhen Bay,483,-252,231
2021-03-08,Express Rail Link West Kowloon,0,0,0
2021-03-08,Hung Hom,0,0,0
2021-03-08,Lo Wu,0,0,0
2021-03-08,Lok Ma Chau Spur Line,0,0,0
